順位,選手名,チーム,打率,安打数,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,本塁打数
1,秋山　翔吾,西武,0.303,179,62,12,78,9,108,0,8,0.392,0.471,0.864,20
2,西川　遥輝,日本ハム,0.288,158,41,19,93,2,111,8,5,0.393,0.385,0.779,5
3,茂木　栄五郎,楽天,0.282,160,55,7,66,3,121,9,7,0.358,0.421,0.779,13
4,山田　哲人,ヤクルト,0.271,141,98,33,110,6,121,0,14,0.401,0.56,0.961,35
5,近本　光司,阪神,0.271,159,42,36,31,6,110,14,2,0.313,0.375,0.689,9
6,坂本　勇人,巨人,0.312,173,94,5,77,2,123,3,9,0.396,0.575,0.971,40
7,浅村　栄斗,楽天,0.263,139,92,1,93,4,162,0,12,0.372,0.507,0.878,33
8,丸　佳浩,巨人,0.292,156,89,12,86,3,125,0,15,0.388,0.495,0.884,27
9,岡本　和真,巨人,0.265,147,94,3,62,6,132,2,15,0.343,0.485,0.828,31
10,山川　穂高,西武,0.256,134,120,1,86,13,142,0,13,0.372,0.54,0.912,43
11,大島　洋平,中日,0.312,174,45,30,50,9,78,3,5,0.376,0.38,0.756,3
12,外崎　修汰,西武,0.274,146,90,22,63,5,132,14,9,0.353,0.493,0.846,26
13,菊池　涼介,広島,0.261,143,48,14,41,1,102,28,5,0.313,0.406,0.719,13
14,鈴木　大地,ロッテ,0.288,152,68,3,56,16,75,13,11,0.373,0.454,0.826,15
15,鈴木　誠也,広島,0.335,167,87,25,103,7,81,0,3,0.453,0.565,1.018,28
16,吉田　正尚,オリックス,0.322,168,85,5,79,5,64,0,12,0.413,0.543,0.956,29
17,源田　壮亮,西武,0.274,148,41,30,40,1,67,25,9,0.324,0.35,0.674,2
18,近藤　健介,日本ハム,0.302,148,59,1,103,2,81,0,11,0.422,0.4,0.822,2
19,ロペス,DeNA,0.241,133,84,0,39,4,107,0,18,0.295,0.461,0.756,31
20,ビシエド,中日,0.315,168,93,2,41,13,88,0,22,0.374,0.496,0.87,18
20,大田　泰示,日本ハム,0.289,161,77,6,27,5,111,0,22,0.325,0.451,0.776,20
22,村上　宗隆,ヤクルト,0.231,118,96,5,74,5,184,0,9,0.332,0.481,0.814,36
23,銀次,楽天,0.304,161,56,2,52,4,58,4,19,0.37,0.382,0.752,5
24,大山　悠輔,阪神,0.258,139,76,3,39,5,98,1,12,0.312,0.401,0.714,14
25,中村　奨吾,ロッテ,0.232,119,59,12,53,12,96,6,10,0.317,0.375,0.692,17
26,西川　龍馬,広島,0.297,159,64,6,32,2,81,11,9,0.336,0.441,0.777,16
26,島内　宏明,楽天,0.287,145,57,3,58,11,65,9,11,0.372,0.407,0.779,10
28,ソト,DeNA,0.269,139,108,0,59,5,98,0,14,0.348,0.554,0.902,43
29,福田　周平,オリックス,0.25,123,38,30,62,8,57,19,7,0.342,0.309,0.651,2
30,松田　宣浩,ソフトバンク,0.26,139,76,5,33,3,115,2,14,0.305,0.483,0.788,30
31,京田　陽太,中日,0.249,126,40,17,37,3,91,24,10,0.302,0.314,0.615,3
32,森　友哉,西武,0.329,162,105,3,72,2,89,1,9,0.413,0.547,0.959,23
33,糸原　健斗,阪神,0.267,131,45,6,60,7,70,11,7,0.353,0.336,0.689,2
34,荻野　貴司,ロッテ,0.315,160,46,28,40,8,56,9,4,0.371,0.47,0.842,10
35,青木　宣親,ヤクルト,0.297,145,58,1,61,11,72,1,13,0.385,0.442,0.826,16
36,中村　剛也,西武,0.286,142,123,2,54,4,123,0,12,0.359,0.528,0.887,30
36,筒香　嘉智,DeNA,0.272,126,79,0,88,2,141,0,5,0.388,0.511,0.899,29
38,レアード,ロッテ,0.248,121,89,0,55,8,128,0,18,0.333,0.483,0.815,32
39,渡邉　諒,日本ハム,0.262,126,58,0,48,6,120,3,8,0.333,0.385,0.718,11
40,内川　聖一,ソフトバンク,0.256,128,41,3,28,2,49,1,16,0.296,0.37,0.666,12
41,ブラッシュ,楽天,0.261,111,95,2,81,17,157,0,7,0.397,0.54,0.936,33
42,金子　侑司,西武,0.251,116,33,41,49,3,81,6,3,0.324,0.292,0.616,3
43,デスパイネ,ソフトバンク,0.259,116,88,0,63,5,119,0,6,0.355,0.52,0.875,36
44,中田　翔,日本ハム,0.242,109,80,0,55,5,83,0,16,0.329,0.449,0.778,24
45,井上　晴哉,ロッテ,0.252,108,65,0,67,9,98,0,10,0.362,0.462,0.824,24
46,亀井　善行,巨人,0.284,128,55,9,45,0,91,3,6,0.346,0.44,0.786,13
47,雄平,ヤクルト,0.273,122,56,4,37,2,71,1,4,0.327,0.396,0.723,12
48,梅野　隆太郎,阪神,0.266,115,59,14,34,6,83,16,16,0.326,0.393,0.718,9
49,大和,DeNA,0.237,104,37,3,34,6,75,10,7,0.3,0.285,0.585,0
50,阿部　寿樹,中日,0.291,130,59,1,31,1,82,3,9,0.337,0.405,0.742,7
51,宮﨑　敏郎,DeNA,0.284,123,49,0,32,3,35,0,13,0.334,0.443,0.777,15
52,ウィーラー,楽天,0.243,100,67,3,43,8,96,0,22,0.32,0.418,0.738,19
53,高橋　周平,中日,0.293,126,59,3,32,3,70,5,10,0.345,0.43,0.776,7
54,バレンティン,ヤクルト,0.28,115,93,0,54,1,117,0,11,0.363,0.554,0.917,33
55,栗山　巧,西武,0.252,103,54,0,48,3,100,3,13,0.333,0.355,0.687,7
56,神里　和毅,DeNA,0.279,119,35,15,26,2,121,3,7,0.323,0.407,0.731,6
57,甲斐　拓也,ソフトバンク,0.26,98,43,9,50,1,114,23,9,0.346,0.387,0.733,11
58,中村　悠平,ヤクルト,0.269,100,36,1,53,10,64,13,11,0.373,0.384,0.757,5
59,會澤　翼,広島,0.277,104,63,2,58,10,81,3,6,0.387,0.439,0.826,12
60,糸井　嘉男,阪神,0.314,120,42,9,52,7,63,0,10,0.403,0.416,0.819,5
